# Efficiencies taken from L144.end_use_eff
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
EU-15,comm cooling,electricity,electricity,2035,elect_td_bld,3.2488591000000002,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2035,elect_td_bld,2.9194137,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2035,elect_td_bld,3.0568009,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,2035,elect_td_bld,3.2488591000000002,European Free Trade Association
India,comm cooling,electricity,electricity,2035,elect_td_bld,2.8170329,India
Indonesia,comm cooling,electricity,electricity,2035,elect_td_bld,2.9359882,Indonesia
Japan,comm cooling,electricity,electricity,2035,elect_td_bld,3.3702151,Japan
Mexico,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,Mexico
Middle East,comm cooling,electricity,electricity,2035,elect_td_bld,3.004147,Middle East
Pakistan,comm cooling,electricity,electricity,2035,elect_td_bld,2.9359882,Pakistan
Russia,comm cooling,electricity,electricity,2035,elect_td_bld,2.9194137,Russia
South Africa,comm cooling,electricity,electricity,2035,elect_td_bld,2.705858,South Africa
South America_Northern,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,South America_Northern
South America_Southern,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,South America_Southern
South Asia,comm cooling,electricity,electricity,2035,elect_td_bld,2.9359882,South Asia
South Korea,comm cooling,electricity,electricity,2035,elect_td_bld,3.2088007,South Korea
Southeast Asia,comm cooling,electricity,electricity,2035,elect_td_bld,2.9359882,Southeast Asia
Taiwan,comm cooling,electricity,electricity,2035,elect_td_bld,2.9359882,Taiwan
Argentina,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,Argentina
Colombia,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,Colombia
Uruguay,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,Uruguay
USA,comm cooling,electricity,electricity,2040,elect_td_bld,3.4680223,USA
Africa_Eastern,comm cooling,electricity,electricity,2040,elect_td_bld,2.8274016,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,2040,elect_td_bld,2.8274016,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,2040,elect_td_bld,2.8274016,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,2040,elect_td_bld,2.8274016,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,2040,elect_td_bld,3.3823155,Australia_NZ
Brazil,comm cooling,electricity,electricity,2040,elect_td_bld,3.1118147,Brazil
Canada,comm cooling,electricity,electricity,2040,elect_td_bld,3.3968935,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2040,elect_td_bld,3.1118147,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2040,elect_td_bld,3.0446324,Central Asia
China,comm cooling,electricity,electricity,2040,elect_td_bld,3.1398308,China
EU-12,comm cooling,electricity,electricity,2040,elect_td_bld,3.1807394,EU-12
EU-15,comm cooling,electricity,electricity,2040,elect_td_bld,3.353766,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2040,elect_td_bld,3.0446324,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2040,elect_td_bld,3.1807394,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,2040,elect_td_bld,3.353766,European Free Trade Association
India,comm cooling,electricity,electricity,2040,elect_td_bld,2.9537578,India
Indonesia,comm cooling,electricity,electricity,2040,elect_td_bld,3.0649259,Indonesia
Japan,comm cooling,electricity,electricity,2040,elect_td_bld,3.4722823,Japan
Mexico,comm cooling,electricity,electricity,2040,elect_td_bld,3.1118147,Mexico
Middle East,comm cooling,electricity,electricity,2040,elect_td_bld,3.1187892,Middle East
Pakistan,comm cooling,electricity,electricity,2040,elect_td_bld,3.0649259,Pakistan
